Model,RMSE,MAE,RMSE vs persistence
CNN-LSTM (skip),4.739788443614193,3.2665824167775295,+0.6%
ConvLSTM (skip),4.468725859195749,3.0802511391792944,+6.3%
ConvLSTM (no skip),4.741951831634485,3.1452855885465003,+0.6%
Per-cell LSTM (skip),4.667962656567697,3.154390046295775,+2.1%
Per-cell LSTM (no skip),4.5299422456434195,3.0789474898583697,+5.0%
CNN-LSTM (no skip),6.407780978151101,4.361148762834502,-34.4%
STAR (spatial+lag),4.59432764649138,3.1115279735101633,+3.7%
AR(1) per cell,4.554693492664604,3.0971767690292293,+4.5%
Persistence (naive),4.76927123599251,3.276327784357894,+0.0%
Training climatology (per cell),7.313235836445741,5.60859777990877,-53.3%
