City,Model,RMSE,MAE
Warszawa,CNN-LSTM (skip),5.878260166019418,4.210060294290718
Warszawa,CNN-LSTM (no skip),7.969136112227937,5.47706239933553
Warszawa,Per-cell LSTM (skip),5.800634736526583,3.9881722234515644
Warszawa,Per-cell LSTM (no skip),5.491419107921202,3.7943824246816993
Warszawa,ConvLSTM (skip),5.5340672264998645,3.8729899470744287
Warszawa,ConvLSTM (no skip),6.680232505555944,4.614310026999982
Warszawa,AR(1) per cell,5.630467639086906,3.934346003869087
Warszawa,STAR,5.980668402918145,4.1190258762996566
Warszawa,Persistence,5.9224754808740485,4.234444783499212
Kraków,CNN-LSTM (skip),10.320249831681812,6.622909630596847
Kraków,CNN-LSTM (no skip),14.112605934579843,8.87041023745991
Kraków,Per-cell LSTM (skip),10.117712361936915,6.289608667878777
Kraków,Per-cell LSTM (no skip),10.028290272657188,6.137156033656565
Kraków,ConvLSTM (skip),10.04578545155511,6.382662271906571
Kraków,ConvLSTM (no skip),13.145939985067692,8.300502894196585
Kraków,AR(1) per cell,9.707920767655668,6.030205365053353
Kraków,STAR,11.166159212417504,6.72485614053314
Kraków,Persistence,10.451407881116268,6.668983056074303
Łódź,CNN-LSTM (skip),6.33284720781175,4.4485885283613715
Łódź,CNN-LSTM (no skip),8.475210481258374,5.722390808285483
Łódź,Per-cell LSTM (skip),6.212305648356493,4.181200427346069
Łódź,Per-cell LSTM (no skip),5.863859495117578,3.963307425887917
Łódź,ConvLSTM (skip),6.065172986647846,4.113770431258163
Łódź,ConvLSTM (no skip),7.035492136813872,4.649087634093065
Łódź,AR(1) per cell,6.027461288473192,4.123629969850543
Łódź,STAR,6.517294746241998,4.262435407147082
Łódź,Persistence,6.364999501179676,4.469591077904641
Wrocław,CNN-LSTM (skip),5.4904742268087245,3.8882921297077244
Wrocław,CNN-LSTM (no skip),8.579378648507694,5.530887682336614
Wrocław,Per-cell LSTM (skip),5.700809275602723,3.8614506472490207
Wrocław,Per-cell LSTM (no skip),5.414085962671754,3.6915482940112696
Wrocław,ConvLSTM (skip),5.148976493217202,3.6415675170721857
Wrocław,ConvLSTM (no skip),6.679041602184526,4.432952363908458
Wrocław,AR(1) per cell,5.41535572722104,3.703063851978982
Wrocław,STAR,5.921108107318622,3.916409735520755
Wrocław,Persistence,5.526211495606433,3.905205009601735
Poznań,CNN-LSTM (skip),6.009314098700277,4.105820026354394
Poznań,CNN-LSTM (no skip),9.456340020709035,6.02738385054216
Poznań,Per-cell LSTM (skip),6.198747852057673,4.105512885676062
Poznań,Per-cell LSTM (no skip),5.895713162282784,3.8923647422464205
