"epoch","set","loss","mae"
1,"train",0.0104064950719476,0.0755301026844369
1,"valid",0.00913089327514172,0.0731441566645193
2,"train",0.00788663234561682,0.0672589822750175
2,"valid",0.00922449212521315,0.0753366038331151
3,"train",0.00782438460737467,0.0670401737485988
3,"valid",0.00889438111335039,0.0719563309786703
4,"train",0.00759463338181376,0.0661634524692028
4,"valid",0.00851275958120823,0.0724522730793061
5,"train",0.0070852804929018,0.0643955988980648
5,"valid",0.008265714161098,0.0702216146163365
6,"train",0.00682846177369356,0.0637810663221565
6,"valid",0.00835127104073763,0.0727856712087769
7,"train",0.00671270582824945,0.0630589581393439
7,"valid",0.00804959330707788,0.070087410979568
8,"train",0.00668163644149899,0.0629980315724368
8,"valid",0.0089818462729454,0.0766910752286457
9,"train",0.00657673273235559,0.0622885767260161
9,"valid",0.00814536865800619,0.0709180358563563
10,"train",0.00654250243678689,0.062510468601212
10,"valid",0.00806751474738121,0.0690214628129576
11,"train",0.00656810216605663,0.062378818060151
11,"valid",0.00800684560090303,0.0699751687229814
12,"train",0.00644951825961471,0.0619039192548245
12,"valid",0.00800502952188253,0.0700611052878929
13,"train",0.00640138983726501,0.0615451261759902
13,"valid",0.00816322211176157,0.0706593779812824
14,"train",0.00663263257592916,0.0629335428042357
14,"valid",0.00813719257712364,0.0685075785628415
15,"train",0.00669119646772742,0.0629574764839625
15,"valid",0.00813267473131418,0.0719623422230554
16,"train",0.00621922733262181,0.0609237978494672
16,"valid",0.00839884672313929,0.0731701328749859
17,"train",0.00614292034879327,0.060588497736539
17,"valid",0.00850614253431559,0.0725613629873022
18,"train",0.00601562345400453,0.0599834287365752
18,"valid",0.00820316188037395,0.0698009696978498
19,"train",0.00604271376505494,0.0601194455697714
19,"valid",0.00799972098320723,0.0690147560276909
20,"train",0.00602499861270189,0.0600870016637888
20,"valid",0.00836539641022682,0.0702808357007576
21,"train",0.00591285014525056,0.0593821457084644
21,"valid",0.0093745356425643,0.0757228438177664
22,"train",0.00593029521405697,0.059778159682671
22,"valid",0.00832079537212849,0.0700850534562634
23,"train",0.00599370431154966,0.059878110375458
23,"valid",0.00894179195165634,0.0750779850117403
24,"train",0.00598026998341084,0.0597528365302036
24,"valid",0.00815553497523069,0.0689714856291188
25,"train",0.00585269182920456,0.059357587095598
25,"valid",0.00862331409007311,0.0714050079823561
26,"train",0.00581115065142512,0.0590795451720366
26,"valid",0.00906248949468136,0.073924811508146
27,"train",0.00584437232464552,0.0591688888342705
27,"valid",0.00872009247541428,0.0720325371219162
28,"train",0.00588071718811989,0.0593273767752857
28,"valid",0.0084080845117569,0.0694901468067055
29,"train",0.00587583892047405,0.0592798175859128
29,"valid",0.00859647803008556,0.0718844960994705
30,"train",0.0056583434343338,0.0582608182530104
30,"valid",0.00848702900111675,0.0710340566958502
31,"train",0.00550655741244555,0.0576199532617343
31,"valid",0.00887608807533979,0.0727641960746522
32,"train",0.00544753996655345,0.0572897743281563
32,"valid",0.00918152555823326,0.0744657701477484
33,"train",0.00547746103256941,0.0573791860279405
33,"valid",0.00906110368669033,0.0730665080096387
34,"train",0.00539612304419279,0.0570628525004294
34,"valid",0.00902845337986946,0.0728356747951166
35,"train",0.00536639429628849,0.0568021068286535
35,"valid",0.00920933950692415,0.0729962655312711
36,"train",0.00540819717571139,0.0571072767831583
36,"valid",0.00925940647721291,0.073292160283422
37,"train",0.0052950051613152,0.0564469044374232
37,"valid",0.00911338813602924,0.0730658817753218
38,"train",0.00539693934842944,0.0570713708488148
38,"valid",0.0092650530859828,0.0739059821246268
39,"train",0.00534364394843578,0.0566400661033063
39,"valid",0.00938357226550579,0.0736321826903444
