"epoch","set","loss","mae"
1,"train",0.0330698937177658,0.141367689424074
1,"valid",0.0191648881882429,0.111390814437944
2,"train",0.0113274827599525,0.0841766406419505
2,"valid",0.0144109819084406,0.0910015315650698
3,"train",0.0093832416459918,0.0762213116961681
3,"valid",0.0102762868627906,0.0788515291668427
4,"train",0.00876850634813309,0.0734408611491556
4,"valid",0.0104496823623776,0.08060716923607
5,"train",0.0083646709099412,0.0716629453187152
5,"valid",0.012635812163353,0.085592896759181
6,"train",0.0081447958946228,0.070626918941428
6,"valid",0.00905181281268597,0.0768997009146706
7,"train",0.00761334458366036,0.0683825496725911
7,"valid",0.00837499741464853,0.0701375344772657
8,"train",0.00700357044115663,0.0650739869514808
8,"valid",0.00872510112822056,0.0746687542244001
9,"train",0.00703224772587419,0.0652587769381614
9,"valid",0.0091151362285018,0.0723162113665406
10,"train",0.00682860240340233,0.0643639720312462
10,"valid",0.00817928742617369,0.0705517765142714
11,"train",0.00678678462281823,0.064268608576065
11,"valid",0.0082149226218462,0.0693913530489608
12,"train",0.00685528805479407,0.0643417392902775
12,"valid",0.00791297201067209,0.0698032903676636
13,"train",0.00644296454265714,0.0620133723685241
13,"valid",0.00773578183725476,0.0691581653364207
14,"train",0.00665182899683714,0.0634394526070671
14,"valid",0.00778809422627091,0.0700187402750789
15,"train",0.00673453416675329,0.0640748463434313
15,"valid",0.0128136379644275,0.0844923767179227
16,"train",0.00692312885075808,0.0647794644027537
16,"valid",0.00830701924860477,0.0739433295621761
17,"train",0.0063866707496345,0.0620455967415805
17,"valid",0.00816722679883242,0.0681362293136406
18,"train",0.00625960994511843,0.0612393421178521
18,"valid",0.00788239296525717,0.0691502531119748
19,"train",0.00623160228133202,0.0611669186174845
19,"valid",0.00871392153203487,0.0699627763241734
20,"train",0.00604528980329633,0.0601718068211952
20,"valid",0.00815470609813929,0.0687581864254182
21,"train",0.00629884609952569,0.0617275951169662
21,"valid",0.0080131059512496,0.0678732945084558
22,"train",0.00611757021397352,0.0604183091025485
22,"valid",0.00754806119948626,0.0682674007882027
23,"train",0.00613374542444944,0.060954513625214
23,"valid",0.00777389667928219,0.0692407556593761
24,"train",0.00607614498585463,0.0602494237760963
24,"valid",0.00830843765288591,0.0683466630209213
25,"train",0.0060754707083106,0.0603986353032864
25,"valid",0.00776309473440051,0.0695096907079039
26,"train",0.00611495645716786,0.0607381513900943
26,"valid",0.00765202241018414,0.0676554067701293
27,"train",0.00601896783336997,0.0601177374505798
27,"valid",0.00765332579612732,0.0676762980239488
28,"train",0.00610964884981513,0.0605794910009628
28,"valid",0.00801714416593313,0.0698571712712628
29,"train",0.0060858060605824,0.0606654580937658
29,"valid",0.00888430327177048,0.0700989716995994
30,"train",0.00593524565920234,0.0597346067043496
30,"valid",0.00779085513204336,0.0675540448191253
31,"train",0.00582441780716181,0.0590017900232185
31,"valid",0.00774854328483343,0.0679324979912097
32,"train",0.00585289066657424,0.059075657143858
32,"valid",0.00799348205327988,0.0678531301484877
33,"train",0.00574063323438168,0.058504244601444
33,"valid",0.00788366608321667,0.0673942304815112
34,"train",0.00576558196917176,0.0586416291306562
34,"valid",0.0086152208968997,0.0692724584622655
35,"train",0.00576211838051677,0.0586890389434696
35,"valid",0.00805573910474777,0.068192699862531
36,"train",0.00587899144738913,0.0591390109327162
36,"valid",0.00776090333238244,0.0690510157372106
37,"train",0.00569675862789154,0.0585456319139335
37,"valid",0.00783744268119335,0.0684422452994748
38,"train",0.00585683900862932,0.0590958014380831
38,"valid",0.00815180037170649,0.0684244731160936
39,"train",0.00586269563063979,0.0593884219959138
39,"valid",0.00870776828378439,0.0702889720714346
40,"train",0.00593244656920433,0.0593070987602005
40,"valid",0.00801693648099899,0.0679014921043321
41,"train",0.00574247585609555,0.058694636150248
41,"valid",0.0077669769525528,0.0678850766244579
42,"train",0.00565190054476261,0.0580917508260559
42,"valid",0.00797231867909431,0.0686924615249556
