"epoch","set","loss","mae"
1,"train",0.00813771598041058,0.0689461624543889
1,"valid",0.00857333466410637,0.0706972542251702
2,"train",0.00741407694295049,0.0658180647557803
2,"valid",0.00840705633163452,0.070081908498998
3,"train",0.0072200195863843,0.0648030113616941
3,"valid",0.00819422490894794,0.0686813773906915
4,"train",0.00699442811310291,0.063970633761718
4,"valid",0.00869506224989891,0.0750058751924357
5,"train",0.00685000093653798,0.0634485236869789
5,"valid",0.00787336379289627,0.0693169492545584
6,"train",0.0068132970482111,0.0632717366097981
6,"valid",0.00805055350065231,0.0680250705565581
7,"train",0.00679489644244313,0.0632861315176677
7,"valid",0.00816348195075989,0.0720941714567954
8,"train",0.00664567621424794,0.0627390902770215
8,"valid",0.00813115946948528,0.0684802809209588
9,"train",0.00658286036923528,0.0626366394010598
9,"valid",0.00786553975194693,0.0689197359023847
10,"train",0.00664755469188094,0.0627985361462081
10,"valid",0.00812874268740416,0.0719550362591595
11,"train",0.00658470811322331,0.0625173824464156
11,"valid",0.00801292341202497,0.0686420088554538
12,"train",0.00657464191317558,0.0624380853473213
12,"valid",0.00787930749356747,0.068446407337453
13,"train",0.00655017979443073,0.0622213060253913
13,"valid",0.00853496138006449,0.0695473300512275
14,"train",0.00649222964420915,0.0620904510557639
14,"valid",0.00790763087570667,0.0695061120001787
15,"train",0.00649191392585635,0.0619606893439236
15,"valid",0.00810790155082941,0.0694671625358854
16,"train",0.00636917306110263,0.0614633303559254
16,"valid",0.00793393608182669,0.0693335205710685
17,"train",0.00643033208325505,0.0615701989034819
17,"valid",0.00795569270849228,0.0693370238185211
18,"train",0.00638613244518638,0.0616445354596763
18,"valid",0.00791296642273664,0.0696524327690569
19,"train",0.00637584691867232,0.0615404933838309
19,"valid",0.00818789284676313,0.0720653075415553
20,"train",0.00634586252272129,0.0614094189327762
20,"valid",0.00824444741010666,0.072162968570133
21,"train",0.00633270712569356,0.0613728475171791
21,"valid",0.00806959718465805,0.0707836221340635
22,"train",0.0063391481526196,0.0615086166401332
22,"valid",0.00809015892446041,0.0700563119276158
23,"train",0.00634144246578217,0.0614303305696198
23,"valid",0.00804539490491152,0.0694241001257639
24,"train",0.00632814457640052,0.0612954213587563
24,"valid",0.00810701213777065,0.0697802230733545
25,"train",0.00639512296766043,0.0614199445801782
25,"valid",0.00808421708643436,0.0700931537985278
26,"train",0.00630698073655367,0.0612368115447434
26,"valid",0.00812736339867115,0.069934780700553
27,"train",0.00636252481490374,0.0613977801710398
27,"valid",0.00810713693499565,0.0707663287710362
28,"train",0.00631213001906872,0.0613416949967139
28,"valid",0.00808457937091589,0.0697395685850614
29,"train",0.00627995189279318,0.0612244831744668
29,"valid",0.00804412364959717,0.0696221916264909
